	AverageSellingUnitWeight	ContentsMeasureType	ContentsQuantity	IsNew	IsSpecialOffer	PromotionDescription	UnitOfSale	UnitQuantity	description	image	name	price	tpnb	unitprice
0	1.542	G	1268.0				1	KG	[28 Thick Freshly Frozen Pork Sausages]	http://img.tesco.com/Groceries/pi/145/5000187146145/IDShot_90x90.jpg	Richmond 28 Thick Pork Sausages 1268G	3.5	78238308	2.77
1	0.93	G	900.0				1	KG	[Crinkle Cut Oven Chips, Crinkle Cut Oven Chips]	http://img.tesco.com/Groceries/pi/649/5053526799649/IDShot_90x90.jpg	Tesco Crinkle Cut Oven Chips 900G	1.0	75872235	1.12
2	0.473	G	456.0				1	KG	[Prefried mini waffles made with freshly mashed potatoes., For more information go to www.birdseye.co.uk]	http://img.tesco.com/Groceries/pi/053/5000116108053/IDShot_90x90.jpg	Birds Eye Mini Potato Waffles 456G	2.0	73604004	4.39
3	0.564	G	513.0				1	KG	[Dippers formed from chopped marinated chicken breast coated in a light batter, prefried., For more, visit birdseye.co.uk]	http://img.tesco.com/Groceries/pi/599/5000116110599/IDShot_90x90.jpg	Birds Eye 28 Crispy Chicken Dippers 513G	3.0	80918377	5.85
4	0.917	G	900.0				1	100G	[Mashed potato seasoned with salt and white pepper]	http://img.tesco.com/Groceries/pi/511/5057008004511/IDShot_90x90.jpg	Tesco Mashed Potato 900G	1.0	81262735	0.111
5	0.482	KG	0.45				1	KG	[Chopped and shaped chicken in a light and crispy batter coating, Delicious chicken dippers are a real family favourite and it's easy to see why. Fuss free, quick cooking for hungry tummies at teatime. These chicken dippers, made with 100% breast meat in a light and crispy batter coating, cook from frozen in just 17 minutes and make a teatime treat with potato waffles, petits pois and a dollop of ketchup. Dippable and dunkable, pile up a bowl of dippers with a selection of dips for a family night in with a movie. These dippers go with anything from BBQ to relish and tomato ketchup to mayonnaise. This product is made with 100% chicken breast with no artificial flavours, colours or preservatives.]	http://img.tesco.com/Groceries/pi/733/5052320859733/IDShot_90x90.jpg	Tesco 20 Battered Chicken Dippers 450G	1.5	58968799	3.34
6	0.996	G	750.0		True	Save 85p Was £1.85 Now £1.00	1	KG	[Lightly coated potato wedges seasoned with herbs and spices., For more information visit www.mccain.co.uk, Find us on Facebook and Twitter]	http://img.tesco.com/Groceries/pi/953/5010228078953/IDShot_90x90.jpg	Mccain Lightly Spiced Wedges 750G	1.0	54406475	1.34
7	0.414	G	320.0		True	Save £1.00 Was £2.50 Now £1.50	1	100G	[Frozen pizza richly topped with mozzarella & Edam cheese and pepperoni-salami on a thin and crispy base.]	http://img.tesco.com/Groceries/pi/208/4001724820208/IDShot_90x90.jpg	Dr. Oetker Ristorante Pizza Pepperoni Salame 320G	1.5	67554630	0.469
8	0.345	KG	0.32		True	Half Price Was £4.00 Now £2.00	1	KG	[Basa Fillets Dusted in a Flour Breadcrumb Coating, with Sea Salt and Cracked Black Pepper, Responsibly sourced fish for life®, Our award winning Young's fish for life® programme ensures all our fish is responsibly sourced. For more details about our work to help conserve fish for future generations visit www.youngsseafood.co.uk, Find us on Facebook, facebook.com/youngsseafood, Follow us on Twitter @youngsseafood, To discover more, visit..., www.youngseafood.co.uk/ranges/gastro]	http://img.tesco.com/Groceries/pi/239/5000205035239/IDShot_90x90.jpg	Youngs Gastro 2 Basa Fillets Salt And Black Pepper 320G	2.0	64118674	6.25
9	0.479	KG	0.45				1	KG	[Chopped and shaped chicken breast in a crispy breadcrumb coating, Tasty chicken nuggets are a real family favourite and it's easy to see why. Fuss free, quick cooking for hungry tummies at teatime. These chicken nuggets, made with 100% breast meat in a crispy breadcrumb coating, cook from frozen in just 15 minutes and make a teatime treat with crispy potato shapes, peas & sweetcorn and light mayonnaise. Dippable and dunkable, pile up a bowl of nuggets with a selection of dips for a family night in with a movie. These nuggets go with anything from BBQ to sweet chilli and tomato ketchup to sour cream. This product is made with 100% chicken breast with no artificial flavours, colours or preservatives.]	http://img.tesco.com/Groceries/pi/917/5052320859917/IDShot_90x90.jpg	Tesco Breaded Chicken Nuggets 450G	1.5	58968684	3.34
10	0.783	G	750.0				1	KG	[Diced roast potatoes in a light crispy batter, Crispy Potatoes]	http://img.tesco.com/Groceries/pi/717/5053526799717/IDShot_90x90.jpg	Tesco Crispy Potatoes 750G	1.0	75872264	1.34
11	0.211	G	186.0		True	Save 50p Was £1.50 Now £1.00	1	KG	[Portions of chicken formed from marinated chunks of chicken breast, prefried, seared and coated with a sweet barbecue glaze., For more, visit birdseye.co.uk, Visit birdseye.co.uk for more ideas]	http://img.tesco.com/Groceries/pi/551/5000116110551/IDShot_90x90.jpg	Birds Eye 2 Sticky And Sweet Bbq Chicken Chargrills 186G	1.0	72395954	5.38
12	0.238	G	186.0		True	Save 50p Was £1.50 Now £1.00	1	KG	[Portions of chicken formed from marinated chunks of chicken breast, prefried, seared and glazed., For more, visit birdseye.co.uk, Visit birdeye.co.uk for more ideas]	http://img.tesco.com/Groceries/pi/544/5000116110544/IDShot_90x90.jpg	Birds Eye 2 Original Chicken Chargrills 182G	1.0	53304574	5.38
13	0.258	ML	270.0		True	Any 2 for £3.00	1	100ML	[Mango & Passionfruit and natural frozen yogurt desserts in a real tropical fruit sorbet coating, 3 Mango & Passion fruit Frozen Yogurt Lollies]	http://img.tesco.com/Groceries/pi/432/5053526850432/IDShot_90x90.jpg	Tesco Mango Passion Fruit Frozen Yoghurt Lollies 3 X 90Ml	2.0	75947654	0.741
14	0.79	KG	0.77				1	KG	[Dippers formed from chopped marinated chicken breast coated in a light batter, prefried., For more, visit birdseye.co.uk]	http://img.tesco.com/Groceries/pi/634/5000116101634/IDShot_90x90.jpg	Birds Eye 42 Crispy Chicken Dippers 770G	4.0	64776118	5.2
15	0.605	G	568.0		True	Any 2 for £3.50	1	100G	[Shortcrust pastry base filled with pieces of steak in gravy, topped with a puff pastry lid., 4 Steak Pies]	http://img.tesco.com/Groceries/pi/804/5054402787804/IDShot_90x90.jpg	Tesco 4 Steak Pies 568G	2.0	74491710	0.352
16	0.525	KG	0.5				1	KG	[Meat Free Mince, Carbon Trust, Reducing CO2, To discover lots of Quorn recipes and to explore the whole range visit www.quorn.co.uk, Facebook, Twitter, Pinterest @Quornfoods, www.facebook.com/Quornfoods]	http://img.tesco.com/Groceries/pi/974/5019503018974/IDShot_90x90.jpg	Quorn Mince 500G	2.79	64725295	5.58
17	0.258	G	250.0				1	KG	[Cooked and Peeled prawns with a protective ice glaze]	http://img.tesco.com/Groceries/pi/850/5052909944850/IDShot_90x90.jpg	Tesco Everyday Value Cooked & Peeled Prawns 250G	2.4	72256532	9.6
18	0.929	G	875.0				1	KG	[Tesco mini corn on the cob Supersweet 875 g, Cook From Frozen in 5 Minutes]	http://img.tesco.com/Groceries/pi/noimage.jpg	Tesco Supersweet Mini Corn On The Cob 875G	1.2	54912296	1.38
19	0.436	G	380.0		True	Any 3 for £4.00	1	100G	[A stonebaked pizza base topped with a tomato and an emmental & blue cheese sauce, mozzarella & cheddar cheeses, marinated grilled red & yellow peppers, red & yellow peppers, spinach, red onion, fried onion and spring onion., A stonebaked pizza base topped with a tomato and an emmental & blue cheese cr&#232;me fra&#238;che sauce, mozzarella & cheddar cheeses, marinated grilled red & yellow peppers, red & yellow peppers, spinach, red onion, fried onion and spring onion.]	http://img.tesco.com/Groceries/pi/010/5054775299010/IDShot_90x90.jpg	Tesco Stonebaked Thin Mediterranean Vegetable Pizza 390G Price Marked	1.5	73588707	0.395
20	0.719	G	700.0				1	KG	[Potato croquettes made from mashed potato in a crispy coating, Potato Croquettes]	http://img.tesco.com/Groceries/pi/429/5054402746429/IDShot_90x90.jpg	Tesco Potato Croquettes 700G	1.0	78499424	1.43
21	0.556	G	500.0	False			1	KG	[Blackberry, Blueberry, Banana and Raspberry smoothie mix, Blackberry, Blueberry, Banana, Raspberry smoothie mix .]	http://img.tesco.com/Groceries/pi/834/5054269866834/IDShot_90x90.jpg	Tesco Berry Smoothie Mix 500G	2.0	79854602	4.0
22	0.585	KG	0.56				1	KG	[Cod fillet fish fingers, prefried., For more, visit birdseye.co.uk, Where does this Fish come from?, To find out more enter the code from the BBE area on www.birdseye.co.uk, Enjoy fish fingers as part of a varied and balanced diet and healthy lifestyle.]	http://img.tesco.com/Groceries/pi/567/5000116104567/IDShot_90x90.jpg	Birds Eye 20 Cod Fish Fingers 560G	3.75	67696064	6.7
23	0.361	KG	0.336		True	Any 3 for £5.00	1	KG	[Quorn Sausages are meat free and made with mycoprotein., Mycoprotein is a nutritious form of quality protein, naturally low in fat and high in protein and fibre., To discover lots of Quorn recipes and to explore the whole range simply visit www.quorn.co.uk, Find us on Facebook, Twitter and Pinterest, www.facebook.com/Quornfoods]	http://img.tesco.com/Groceries/pi/110/5019503018110/IDShot_90x90.jpg	Quorn Sausages 336G	2.0	51385249	5.96
24	0.216	G	255.0		True	Save 50p Was £1.50 Now £1.00	1	KG	[Portions formed from marinated chunks of chicken breast coated in a light crispy batter, prefried., Why not try in a wrap..., Visit birdseye.co.uk for more ideas]	http://img.tesco.com/Groceries/pi/506/5000116110506/IDShot_90x90.jpg	Birds Eye 2 Crispy Chicken 180G	1.0	51582603	3.93
25	1.892	KG	1.5				1	KG	[Oven Ready chips prepared with sunflower oil, For more information visit: www.mccain.co.uk, Find us on Facebook and Twitter]	http://img.tesco.com/Groceries/pi/220/5010228013220/IDShot_90x90.jpg	Mccain Straight Cut Oven Chips 1.5Kg	2.5	55134224	1.67
26	0.241	KG	0.216				1	KG	[Mixed Vegetables filling wrapped in crispy filo pastry, 12 Mini Vegetable Spring Rolls]	http://img.tesco.com/Groceries/pi/155/5052319035155/IDShot_90x90.jpg	Tesco Frozen 12 Mini Vegetable Spring Rolls 216G	1.0	64295416	4.63
27	0.679	KG	0.62		True	Save 50p Was £2.50 Now £2.00	1	100G	[Shortcrust pastry filled with pieces of chicken breast and vegetables in gravy., For more, visit birdseye.co.uk]	http://img.tesco.com/Groceries/pi/319/5000116055319/IDShot_90x90.jpg	Birds Eye 4 Shortcrust Chicken Pies 620G	2.0	50189190	0.323
28	0.983	G	900.0		True	Save 25p Was £1.75 Now £1.50	1	KG	[Crispy, golden chunky chips, For more information visit our website www.mccain.co.uk, Find us on Facebook and Twitter]	http://img.tesco.com/Groceries/pi/852/5010228001852/IDShot_90x90.jpg	Mccain Home Chips 900G	1.5	70776224	1.67
29	0.289	G	260.0				1	100G	[Baguette bases topped with tomato sauce and a blend of mozzarella and cheddar cheeses., Baguette bases topped with tomato sauce and a blend of mozzarella and cheddar cheeses.]	http://img.tesco.com/Groceries/pi/866/5054402039866/IDShot_90x90.jpg	Tesco 2 Cheese Pizza Subs 260G	1.0	56083308	0.385
30	0.52	G	454.0				1	KG	[Smiles, smiley faces made with real mashed potato., For more information visit: www.mccain.co.uk, Find us on Facebook and Twitter]	http://img.tesco.com/Groceries/pi/329/5010228071329/IDShot_90x90.jpg	Mccain Smiles 454G	1.6	52460850	3.53
31	0.671	KG	0.32				1	KG	[Chopped and shaped chicken in a crispy breadcrumb coating, Everyday Value chicken nuggets]	http://img.tesco.com/Groceries/pi/376/5051898462376/IDShot_90x90.jpg	Tesco Everyday Value Chicken Nuggets 320G	0.72	60590856	2.25
32	0.733	G	700.0				1	KG	[Curly oven potato fries in a seasoned coating, Curly Fries 700g]	http://img.tesco.com/Groceries/pi/731/5053526799731/IDShot_90x90.jpg	Tesco Curly Fries 700G	1.5	75872287	2.15
33	0.335	G	250.0				1	KG	[10 Skinless and boneless Fish Fingers made from Cod mince (Gadus morhua), coated in breadcrumb., 10 Skinless and boneless Fish Fingers made from Cod mince (Gadus morhua), coated in breadcrumb]	http://img.tesco.com/Groceries/pi/853/5054269803853/IDShot_90x90.jpg	Tesco Everyday Value Fish Fingers 250G	0.6	79778266	2.4
34	0.438	G	360.0				1	KG	[4 skinless, deboned wild Alaskan Pacific pink salmon (Oncorhynchus gorbuscha) fillets with a protective ice glaze, 4 Skinless Wild Alaskan Salmon Fillets]	http://img.tesco.com/Groceries/pi/003/5052910412003/IDShot_90x90.jpg	Tesco 4 Skinless Wild Alaskan Salmon Fillets 360G	3.5	72945212	9.73
35	0.283	KG	0.27				1	KG	[Crispy fries made from mashed potato]	http://img.tesco.com/Groceries/pi/933/5010228012933/IDShot_90x90.jpg	Original Microwave Fries To Go 3 X 90G	2.0	51676717	7.41
36	0.938	G	900.0				1	KG	[Potato chips in a crispy golden coating, Thin & Crispy 900g]	http://img.tesco.com/Groceries/pi/992/5053526875992/IDShot_90x90.jpg	Tesco Thin And Crispy Oven Chips 900G	1.0	75962054	1.12
37	1.014	G	907.0			50p off Aunt Bessie's Homestyle Potatoes 907G	1	KG	[Cut potatoes coated in batter, Follow Me, For all my latest news, tasty recipe ideas and competitions., Did You Know?, All the plastic film I use for my potato products is recyclable., Visit www.auntbessies.co.uk to find out more.]	http://img.tesco.com/Groceries/pi/236/5000227506236/IDShot_90x90.jpg	Aunt Bessie's Crispy Roast Potatoes 907G	1.95	54399447	2.15
38	0.445	KG	0.53				1	KG	[26 Pork cocktail sausages., 26 (Approx.) Pork Cocktail Sausages]	http://img.tesco.com/Groceries/pi/560/5052320819560/IDShot_90x90.jpg	Tesco Frozen 26 Pork Cocktail Sausages 390G	1.0	58996615	1.89
39	0.884	G	750.0		True	Half Price Was £2.50 Now £1.25	1	KG	[Straight Cut Extra Thin Fries, For more information visit our website www.mccain.co.uk, Find us on Facebook and Twitter]	http://img.tesco.com/Groceries/pi/388/5010228001388/IDShot_90x90.jpg	Mccain Quick Cook French Fries 750G	1.25	74716884	1.67
40	0.386	KG	0.32				1	KG	[Basa Fillets in a Lemon and Herb Tempura Batter, Responsibly sourced fish for life®, Our award winning Young's fish for life® programme ensures all our fish is responsibly sourced. For more details about our work to help conserve fish for future generations visit www.youngsseafood.co.uk, Find us on Facebook, facebook.com/youngsseafood, Follow us on Twitter @youngsseafood, To discover more, visit..., www.youngseafood.co.uk/ranges/gastro]	http://img.tesco.com/Groceries/pi/085/5000205032085/IDShot_90x90.jpg	Youngs 2 Basa Fillets Tempura Batter 320G	4.0	67708680	12.5
41	0.31	G	300.0				1	KG	[Medium Cooked and Peeled prawns with a protective ice glaze, Medium Cooked and Peeled prawns with a protective ice glaze]	http://img.tesco.com/Groceries/pi/623/5052003565623/IDShot_90x90.jpg	Tesco Cooked And Peeled Prawns 300G	4.0	64636141	13.34
42	1.033	KG	1.0				1	KG	[Minced Beef, Minced Beef]	http://img.tesco.com/Groceries/pi/545/5051790487545/IDShot_90x90.jpg	Tesco Minced Beef 20% Fat 1Kg	3.25	58517738	3.25
43	1.088	G	800.0				1	KG	[Roasting potatoes in a crispy coating, Roasting Potatoes]	http://img.tesco.com/Groceries/pi/851/5054402150851/IDShot_90x90.jpg	Tesco Roast Potatoes 800G	0.8	52165013	1.0
44	0.21	G	180.0				1	KG	[Mozzarella and full fat soft cheese coated in breadcrumbs.]	http://img.tesco.com/Groceries/pi/373/5054268676373/IDShot_90x90.jpg	Tesco Frozen 12 Mozzarella Sticks 180G	1.0	77091764	5.56
45	0.543	KG	0.5				1	KG	[Skinless and boneless basa (Pangasius hypohthalmus) fillets in a protective ice glaze., 5 (approx) Basa fillets]	http://img.tesco.com/Groceries/pi/707/5052320391707/IDShot_90x90.jpg	Tesco 5 Basa Fillets 500G	3.0	65728267	6.0
46	0.993	G	900.0				1	KG	[20 Pork, onion and sage sausages., 20 (Approx.) Irish Recipe Sausages]	http://img.tesco.com/Groceries/pi/081/5052909825081/IDShot_90x90.jpg	Tesco 20 Thick Irish Recipe Sausages 900G	2.5	67288017	2.78
47	2.358	G	850.0				1	KG	[Sliced Green Beans, British sliced green beans]	http://img.tesco.com/Groceries/pi/813/5053526969813/IDShot_90x90.jpg	Tesco Sliced Green Beans 850G	0.85	51540642	1.0
48	0.429	G	355.0	False	True	Save £1.00 Was £2.50 Now £1.50	1	100G	[Frozen pizza richly topped with mozzarella & Edam cheese, chicken breast, spinach and sweetcorn on a thin and crispy base.]	http://img.tesco.com/Groceries/pi/000/4001724820000/IDShot_90x90.jpg	Dr. Oetker Ristorante Pizza Pollo 355G	1.5	57484007	0.423
49	0.181	G	170.0				1	KG	[Peeled and cooked king prawns (Penaeus Vannamei) with protective ice glaze., TESCO COOKED & PEELED KING PRAWNS]	http://img.tesco.com/Groceries/pi/763/5054402181763/IDShot_90x90.jpg	Tesco Large Cooked King Prawns 170G	2.75	77747871	16.18
50	0.246	G	220.0				1	KG	[Jumbo Clusters of Whole Scampi Tails with Added Water Coated in Breadcrumbs]	http://img.tesco.com/Groceries/pi/899/5000205040899/IDShot_90x90.jpg	Youngs Jumbo Whole Scampi 220G	6.0	65556809	27.28
51	0.69	G	625.0				1	KG	[Wedges of shredded potato, seasoned and cooked in sunflower oil., For more information visit: www.mccain.co.uk]	http://img.tesco.com/Groceries/pi/869/5010228001869/IDShot_90x90.jpg	Mccain Hash Browns 625G	1.25	54844877	2.0
52	0.556	G	500.0	False			1	KG	[Fruit Salad and Vegetables Smoothie]	http://img.tesco.com/Groceries/pi/149/5054775580149/IDShot_90x90.jpg	Tesco Superfood Smoothie Spinach, Mixed Berry And Avocado 500G	2.0	80807520	4.0
53	0.278	ML	270.0		True	Any 2 for £3.00	1	100ML	[Vanilla ice cream with a swirl (12%) and a coating (38%) of exotic fruit sorbet., Made with sustainably farmed fruits1, 1For more information: www.icecreamjoy.com]	http://img.tesco.com/Groceries/pi/288/8712100889288/IDShot_90x90.jpg	Solero Exotic Ice Cream 3 X 90Ml	2.49	80845480	0.922
54	0.689	KG	0.6		True	Save 15% Was £5.00 Now £4.25	1	KG	[6 skin on, deboned wild Alaskan Pacific pink salmon (Oncorhynchus gorbuscha) fillets with a protective ice glaze, 6 Wild Alaskan Salmon Fillets]	http://img.tesco.com/Groceries/pi/360/5051898717360/IDShot_90x90.jpg	Tesco 6 Wild Alaskan Salmon Fillets 600G	4.25	60857716	7.09
55	0.525	KG	0.5				1	KG	[Meat Free Chicken Pieces, Carbon Trust, Reducing CO2, To discover lots of Quorn recipes and to explore the whole range visit www.quorn.co.uk, Facebook, Twitter, Pinterest @Quornfoods, www.facebook.com/Quornfoods]	http://img.tesco.com/Groceries/pi/056/5019503019056/IDShot_90x90.jpg	Quorn Chicken Style Pieces 500G	2.79	65560470	5.58
56	0.341	KG	0.3		True	Save 95p Was £1.95 Now £1.00	1	KG	[Seasoned Vegetarian Sausages Made with Rehydrated Textured Soya Protein., Find us on Facebook, Twitter and Instagram]	http://img.tesco.com/Groceries/pi/004/5000149029004/IDShot_90x90.jpg	Linda Mccartney 6 Vegetarian Sausages 300G	1.0	51584993	3.34
57	0.269	ML	250.0				1	LITRE	[A frozen alcoholic drink made with natural flavours and colourings and a fortified apple wine base.]	http://img.tesco.com/Groceries/pi/746/5012168440746/IDShot_90x90.jpg	Iceco Frozen Alcoholic Strawberry Daiquiri 250Ml	2.0	78596373	8.0
58	0.67	G	645.0				1	100G	[Tomato sauce stuffed crust pizza base topped with tomato sauce, mozzarella and slices of pork and beef pepperoni., Like us? For great offers and competitions like us on Facebook or join our mailing list at... chicagotown.com]	http://img.tesco.com/Groceries/pi/435/5019312896435/IDShot_90x90.jpg	Chicago Town Large Takeaway Pepperoni 645G	3.9	63985108	0.605
59	0.72	G	900.0				1	KG	[Cauliflower Florets, Cauliflower Florets]	http://img.tesco.com/Groceries/pi/691/5053526969691/IDShot_90x90.jpg	Tesco Cauliflower Florets 900G	1.1	54905506	1.23
60	0.43	G	355.0		True	Save £1.00 Was £2.50 Now £1.50	1	100G	[Frozen pizza richly topped with pineapple, mozzarella & Edam cheese and ham on a thin and crispy base.]	http://img.tesco.com/Groceries/pi/608/4001724819608/IDShot_90x90.jpg	Dr. Oetker Ristorante Pizza Hawaii 355G	1.5	55510194	0.423
61	0.381	G	338.0				1	100G	[2 part baked white half baguettes with a garlic and parsley filling, A crispy baguette with a garlic and parsley filling]	http://img.tesco.com/Groceries/pi/047/5051008336047/IDShot_90x90.jpg	Tesco 2 Garlic Baguettes 338G	1.0	50716327	0.296
62	0.389	G	386.0		True	Any 3 for £4.00	1	100G	[Deep pan pizza base topped with tomato sauce, Mozzarella cheese, smoked pepperoni, smoked reformed ham and spicy minced beef., Pizza base topped with tomato sauce, Mozzarella, pepperoni, smoked reformed ham and spicy minced beef.]	http://img.tesco.com/Groceries/pi/040/5054268910040/IDShot_90x90.jpg	Tesco Deep Pan Meat Feast Pizza 391G	1.5	64693763	0.389
63	0.517	G	500.0				1	KG	[Chopped and shaped turkey with added milk proteins from cows' milk coated in breadcrumbs]	http://img.tesco.com/Groceries/pi/435/5010236115435/IDShot_90x90.jpg	Bernard Matthews 10 Turkey Dinosaurs 500G	2.0	70602506	4.0
64	0.47	G	454.0				1	KG	[Beef quarter pounders with chopped onion and seasoning., For more, visit birdseye.co.uk]	http://img.tesco.com/Groceries/pi/867/5000116046867/IDShot_90x90.jpg	Birds Eye 4 Original Beef Quarter Pounders 454G	2.49	54122499	5.49
65	1.99	KG	1.5		True	Save 50p Was £2.50 Now £2.00	1	KG	[Oven Ready chips prepared with sunflower oil, For more information visit: www.mccain.co.uk, Find us on Facebook and Twitter]	http://img.tesco.com/Groceries/pi/425/5010228001425/IDShot_90x90.jpg	Mccain Crinkle Oven Chips 1.5Kg	2.0	51739108	1.34
66	0.678	G	650.0				1	KG	[Seasoned mashed potato, with milk and butter., For more information visit: www.mccain.co.uk, Find us on Facebook and Twitter]	http://img.tesco.com/Groceries/pi/262/5010228002262/IDShot_90x90.jpg	Mccain Mash 650G	1.25	78589013	1.93
67	0.232	G	227.0		True	Save 15% Was £1.49 Now £1.26	1	KG	[Beef burgers with chopped onion and seasoning., For more, visit birdseye.co.uk]	http://img.tesco.com/Groceries/pi/130/5000116018130/IDShot_90x90.jpg	Birds Eye 4 Original Beef Burgers 227G	1.26	50151735	5.56
68	0.471	G	454.0				1	KG	[Chicken quarter pounders formed from chopped chicken breast in a rice coating, prefried., For more, visit birdseye.co.uk]	http://img.tesco.com/Groceries/pi/445/5000116107445/IDShot_90x90.jpg	Birds Eye 4 Chicken Quarter Pounders 454G	2.75	72437382	6.06
69	0.292	KG	0.19				1	KG	[Pork Sausages in a Yorkshire Pudding Batter, Get a helping hand, There's an extra helping hand waiting for you on Facebook & Twitter with all my latest competitions, coupons and family meal ideas., facebook.com/auntbessies, twitter.com/auntbessies]	http://img.tesco.com/Groceries/pi/148/5000227991148/IDShot_90x90.jpg	Aunt Bessie's Toad In The Hole 190G	1.5	53426648	7.9
70	0.443	KG	0.4		True	Save 15% Was £2.50 Now £2.12	1	KG	[Skinless and boneless 100 % Cod (Gadus morhua) fillet fish fingers coated in breadcrumbs., Finest chunky Cod Fillet Fish Fingers IN CRISP GOLDEN CRUMB. WE'VE USED MOIST WHOLE CHUNKY COD FILLETS, FOR THESE DELICIOUSLY SUCCULENT FISH FINGERS. PERFECT IN CIABATTA FOR A LUXURY FISH FINGER SANDWICH.]	http://img.tesco.com/Groceries/pi/434/5052319525434/IDShot_90x90.jpg	Tesco Finest 6 Chunky Cod Fillet Fish Fingers 400G	2.12	66759482	5.3
71	0.546	KG	0.5				1	KG	[Skinless and boneless Cod (Gadus morhua) fillets. Formed from pieces of 100% Cod fillet coated in ovencrisp batter., 4 Battered Cod fillets]	http://img.tesco.com/Groceries/pi/265/5052004386265/IDShot_90x90.jpg	Tesco 4 Battered Cod Fillets 500G	2.0	62891203	4.0
72	0.921	KG	0.907				1	KG	[Oven ready chips prepared with sunflower oil, For more information visit: www.mccain.co.uk, Find us on Facebook/Twitter]	http://img.tesco.com/Groceries/pi/107/5010228013107/IDShot_90x90.jpg	Mccain Crinkle Oven Chips 907G	1.75	51450092	1.93
73	0.316	G	314.0				1	100G	[A topped to the edge pizza base with tomato sauce, mozzarella cheese and pepperoni., Thin Pepperoni Pizza &#163;1]	http://img.tesco.com/Groceries/pi/617/5054402747617/IDShot_90x90.jpg	Tesco Thin Pepperoni Pizza 314G	1.0	78525544	0.319
74	0.269	ML	250.0				1	LITRE	[A frozen alcoholic drink made with natural flavours and colourings and a fortified apple wine base.]	http://img.tesco.com/Groceries/pi/142/5012168440142/IDShot_90x90.jpg	Iceco Frozen Alcoholic Mojito 250Ml	2.0	78596338	8.0
75	1.551	KG	1.5				1	KG	[Delicious chunky chips coated with a light batter for extra crispness. Made from specially selected British Maris Piper potatoes to guarantee the best flavour and texture., We use specially selected Maris Pipers for these fabulous chunky chips, to get the ultimate light and fluffy texture. The chips are made at the beginning of the potato season, to give the very best flavour]	http://img.tesco.com/Groceries/pi/915/5051008608915/IDShot_90x90.jpg	Tesco Finest British Chunky Oven Chips 1.5Kg	2.3	51917065	1.54
76	1.671	KG	1.5				1	KG	[Crinkle Cut Oven Chips, Crinkle Cut Oven Chips]	http://img.tesco.com/Groceries/pi/427/5053526799427/IDShot_90x90.jpg	Tesco Crinkle Cut Oven Chips 1.5Kg	1.5	75866018	1.0
77	0.556	G	500.0	False			1	100G	[A mix of melon, pineapple, papaya and mango, Exotic Fruit Mix]	http://img.tesco.com/Groceries/pi/033/5054775580033/IDShot_90x90.jpg	Tesco Exotic Fruit Mix 500G	2.0	80807439	0.4
78	0.775	KG	0.75				1	KG	[Onion rings made from chopped onion and cereal, coated in breadcrumbs and lightly fried, Breaded Onion Rings]	http://img.tesco.com/Groceries/pi/735/5051008134735/IDShot_90x90.jpg	Tesco Breaded Onion Rings 750G	1.15	52570201	1.54
79	1.556	KG	1.5				1	KG	[Steak cut chips, Steak Cut Oven Chips]	http://img.tesco.com/Groceries/pi/687/5054269765687/IDShot_90x90.jpg	Tesco Steak Oven Cut Chips 1.5Kg	1.5	79720254	1.0
80	1.265	G	249.0				1	100G	[Pizza base topped with tomato sauce and Mozzarella cheese., Pizza base topped with tomato sauce and Mozzarella cheese]	http://img.tesco.com/Groceries/pi/221/5052909546221/IDShot_90x90.jpg	Tesco Everyday Value Cheese And Tomato Pizza 249G	0.6	54784043	0.241
81	0.316	G	314.0				1	100G	[A topped to the edge pizza base with tomato sauce and a four cheese blend of mozzarella, Cheddar, Monterey Jack and Edam cheeses., Thin Four Cheese Pizza &#163;1]	http://img.tesco.com/Groceries/pi/594/5054402747594/IDShot_90x90.jpg	Tesco Thin Cheese Pizza 314G	1.0	78525533	0.319
82	0.43	G	400.0				1	100G	[Layers of pasta with minced beef and tomato sauce, topped with a white sauce and red cheddar cheese., Layers of bolognese sauce and pasta topped with cheddar and cheese sauce. This Italian classic is a tasty treat suitable for any occasion.]	http://img.tesco.com/Groceries/pi/739/5054775860739/IDShot_90x90.jpg	Tesco Lasagne 400G	1.0	81091234	0.25
83	1.1	KG	1.0				1	KG	[Button Brussels Sprouts, Button Brussels Sprouts]	http://img.tesco.com/Groceries/pi/597/5051898302597/IDShot_90x90.jpg	Tesco Button Brussels Sprouts 1Kg	1.0	54905541	1.0
84	0.333	KG	0.27	False			1	100G	[Frozen uncooked filo pastry sheets., For inspiring ideas visit www.jusrol.co.uk]	http://img.tesco.com/Groceries/pi/458/5010084102458/IDShot_90x90.jpg	Jus Rol 6 Filo Pastry Sheets 270G	1.5	51432972	0.556
85	0.435	KG	0.4				1	KG	[Microwaveable Chips, For more information visit our website: www.mccain.co.uk, Find us on Facebook & Twitter]	http://img.tesco.com/Groceries/pi/223/5010228012223/IDShot_90x90.jpg	Mccain Quick Chips 4 X 100G	1.8	50803869	4.5
86	2.029	KG	2.0				1	KG	[A mixture of frozen class A chicken thigh and drumstick portions., Everyday Value Thigh and Drumstick Frozen Chicken Portions Class A. This pack contains a mixture of the listed chicken portions.]	http://img.tesco.com/Groceries/pi/550/5051790564550/IDShot_90x90.jpg	Tesco Everyday Value Chicken Portions 2Kg	3.2	59853305	1.6
